# Time-averaged data for fix eint_out
# TimeStep c_eint_total c_eint_water c_eint_pair
5494000 -2802.52 -4784.17 -1107.62
5495000 -2787.49 -4768.58 -1102.98
5496000 -2773.47 -4749.89 -1091.11
5497000 -2815.87 -4737.26 -1105.87
5498000 -2840.3 -4716.48 -1106.94
5499000 -2803.69 -4746.19 -1106.11
5500000 -2809.79 -4711.11 -1107.52
5501000 -2731.6 -4793.26 -1067.71
5502000 -2710.29 -4806.55 -1069.35
5503000 -2696.26 -4849.75 -1061.85
5504000 -2737.35 -4870.35 -1075.99
5505000 -2769.83 -4818.54 -1097.78
5506000 -2761.14 -4824.71 -1097.07
5507000 -2812.46 -4751.7 -1108.04
5508000 -2762.44 -4803.28 -1111.21
5509000 -2793.59 -4705.63 -1110.85
5510000 -2766.84 -4701.73 -1086.73
5511000 -2804.18 -4724.07 -1101.57
5512000 -2775.79 -4777.09 -1088.94
5513000 -2809.05 -4777.37 -1101.63
5514000 -2803.93 -4784.69 -1116.7
5515000 -2803.49 -4807.61 -1106.37
5516000 -2828.2 -4748.68 -1112.9
5517000 -2851.29 -4765.89 -1120.79
5518000 -2874.22 -4728.91 -1124.3
5519000 -2859.45 -4738.9 -1128.11
5520000 -2890.4 -4709.81 -1136.45
5521000 -2841.61 -4675.97 -1118.44
5522000 -2866.18 -4668.86 -1121.39
5523000 -2848.86 -4694.29 -1114.7
5524000 -2857.84 -4672.87 -1126.22
5525000 -2867.51 -4672.77 -1140.97
5526000 -2867.72 -4659.67 -1121.63
5527000 -2884.67 -4674.21 -1115.94
5528000 -2906.32 -4650.71 -1132.41
5529000 -2879.92 -4658.91 -1120.55
5530000 -2826.34 -4720.4 -1099.6
5531000 -2837.91 -4764.94 -1115.45
5532000 -2852.25 -4710.02 -1115.48
5533000 -2845.51 -4760.11 -1112.34
5534000 -2848.66 -4701.74 -1099.13
5535000 -2850.36 -4698.76 -1109.81
5536000 -2816.73 -4704.12 -1101.98
5537000 -2803.39 -4704.8 -1092.82
5538000 -2837.7 -4697.16 -1107.26
5539000 -2858.69 -4644.19 -1118.43
5540000 -2826.17 -4637.22 -1106.88
5541000 -2806.19 -4641.17 -1093.47
5542000 -2800.44 -4611.5 -1098.39
5543000 -2829.13 -4548.34 -1098.07
5544000 -2869.62 -4455.31 -1106.02
5545000 -2846.26 -4478.3 -1108.01
5546000 -2867.47 -4492.42 -1123.18
5547000 -2845.1 -4532.32 -1114.5
5548000 -2827.48 -4527.29 -1122.37
5549000 -2867.51 -4424.13 -1135.13
5550000 -2871.82 -4469.41 -1136.76
5551000 -2864.77 -4509.56 -1135.49
5552000 -2872.16 -4485.16 -1143.29
5553000 -2885.02 -4432.34 -1143.09
5554000 -2822.54 -4564.66 -1119.39
5555000 -2835.3 -4566.09 -1129.44
5556000 -2840.27 -4560.52 -1125.7
5557000 -2841.08 -4552.85 -1109.63
5558000 -2836.5 -4573.9 -1112.22
5559000 -2834.88 -4550.42 -1106.89
5560000 -2829.66 -4570.75 -1111.68
5561000 -2864.92 -4503.59 -1118.28
5562000 -2828.78 -4517.37 -1109.17
5563000 -2856.5 -4467.61 -1110.49
5564000 -2841.85 -4406.55 -1102.67
5565000 -2914.13 -4419.31 -1122.48
5566000 -2874.01 -4489.3 -1117.96
5567000 -2872.23 -4453.03 -1122.67
5568000 -2882.04 -4539.91 -1112.94
5569000 -2826.63 -4605.14 -1106.32
5570000 -2836.9 -4581.62 -1123.39
5571000 -2837.44 -4547.02 -1108.77
5572000 -2795.81 -4613.21 -1093.06
5573000 -2819.74 -4536.6 -1089.04
5574000 -2820.18 -4546.44 -1085.28
5575000 -2804.52 -4582.57 -1087.37
5576000 -2808.31 -4619.52 -1081.65
5577000 -2854.8 -4526.93 -1102.29
5578000 -2859.61 -4510.37 -1110.8
5579000 -2853.19 -4516.58 -1117.78
5580000 -2849.77 -4541.7 -1106.1
5581000 -2845.96 -4482.78 -1105.98
5582000 -2845.21 -4516.84 -1121.57
5583000 -2822.99 -4581.24 -1124.45
5584000 -2739.16 -4666.72 -1093.33
5585000 -2760.5 -4668.24 -1096.07
5586000 -2825.71 -4602.47 -1111.64
5587000 -2838.56 -4605.87 -1117.57
5588000 -2837.75 -4604.53 -1106.08
5589000 -2838.95 -4507.32 -1131.93
5590000 -2811.68 -4515.84 -1120.8
5591000 -2814.97 -4511.16 -1107.8
5592000 -2861.03 -4448.37 -1126.14
5593000 -2838.33 -4612.41 -1139.15
5594000 -2841.99 -4525.63 -1126.49
5595000 -2836.25 -4624.14 -1114.01
5596000 -2820.06 -4662.48 -1124.29
5597000 -2857.49 -4613.6 -1139.95
5598000 -2881.08 -4586.61 -1128.63
5599000 -2891.64 -4588.12 -1133
5600000 -2801.43 -4656.84 -1107.64
5601000 -2841.34 -4600.66 -1124.93
5602000 -2830.8 -4630.97 -1113.19
5603000 -2840.57 -4574.75 -1110.33
5604000 -2822.25 -4557.96 -1098.33
5605000 -2832.13 -4534.13 -1106.23
5606000 -2869.34 -4586.04 -1119.63
5607000 -2867.71 -4624.61 -1122.85
5608000 -2887.53 -4555 -1127.71
5609000 -2887.85 -4525.66 -1115.9
5610000 -2849.67 -4635.55 -1103.37
5611000 -2863 -4597.38 -1096.2
5612000 -2848.49 -4613.8 -1087.47
5613000 -2832.53 -4663.27 -1095.41
5614000 -2852.67 -4674.51 -1102.21
5615000 -2848.93 -4612.48 -1110.89
5616000 -2857.62 -4597.25 -1129.05
5617000 -2849.08 -4610.16 -1130.91
5618000 -2887.65 -4620.27 -1134.94
5619000 -2879.6 -4641.56 -1121.29
5620000 -2880.63 -4619.56 -1124.49
5621000 -2885.22 -4558.64 -1116.66
5622000 -2847.26 -4599.94 -1111.25
5623000 -2893.75 -4573 -1133.19
5624000 -2882.51 -4546.37 -1133.26
5625000 -2908.44 -4496.05 -1139.25
5626000 -2867.9 -4557.29 -1129.06
5627000 -2853.07 -4644.62 -1122.29
5628000 -2840.72 -4672.77 -1116.28
5629000 -2810.24 -4756.41 -1094.58
5630000 -2825.6 -4763.34 -1106.64
5631000 -2830.36 -4737.15 -1109.97
5632000 -2859.53 -4669.35 -1122.45
5633000 -2835.99 -4649.24 -1117.13
5634000 -2915 -4607.53 -1127.7
5635000 -2937.16 -4573.13 -1133.21
5636000 -2899.28 -4632.79 -1133.19
5637000 -2903.61 -4613.1 -1129.13
